crypto.NEBL.address,NEBL,NEBL,NEBL
crypto.XPM.address,XPM,XPM,XPM
crypto.ONE.address,EVM,ONE,ONE
crypto.BNTY.address,EVM,ETH,BNTY
crypto.CRO.address,CRO,CRO,CRO
crypto.TWT.address,EVM,BSC,TWT
crypto.SIERRA.address,SIERRA,SIERRA,SIERRA
crypto.VSYS.address,VSYS,VSYS,VSYS
crypto.HIVE.address,HIVE,HIVE,HIVE
crypto.HT.address,EVM,ETH,HT
crypto.ENJ.address,EVM,ENJ,ENJ
crypto.YFI.address,EVM,ETH,YFI
crypto.MTA.address,EVM,ETH,MTA
crypto.COMP.address,EVM,ETH,COMP
crypto.BAL.address,EVM,ETH,BAL
crypto.AMPL.address,EVM,ETH,AMPL
crypto.LEND.address,EVM,ETH,LEND
crypto.TLOS.address,EVM,ETH,TLOS
crypto.XDC.address,XDC,XDC,XDC
crypto.XST.address,XST,XST,XST
crypto.STRAX.address,EVM,ETH,STRAX
crypto.SIGNA.address,EVM,BSC,SIGNA
crypto.NIM.address,NIMQ,NIMQ,NIM
crypto.GUAP.address,GUAP,GUAP,GUAP
crypto.YLD.address,EVM,ETH,YLD
crypto.OKT.address,EVM,OKT,OKT
crypto.ELA.version.ELA.address,EVM,ESC,ELA
crypto.ELA.version.ESC.address,EVM,ESC,ELA
crypto.USDT.version.ERC20.address,EVM,ETH,USDT
crypto.USDT.version.TRON.address,TRX,TRX,USDT
crypto.USDT.version.EOS.address,EOSIO,EOSIO,USDT
crypto.USDT.version.OMNI.address,BTC,OMNI,USDT
crypto.FTM.version.ERC20.address,EVM,ETH,FTM
crypto.FTM.version.BEP2.address,BNB,BNB,FTM
crypto.FTM.version.OPERA.address,EVM,FTM,FTM
crypto.FUSE.version.ERC20.address,EVM,ETH,FUSE
crypto.FUSE.version.FUSE.address,EVM,FUSE,FUSE
crypto.MATIC.version.MATIC.address,EVM,MATIC,MATIC
crypto.MATIC.version.BEP20.address,EVM,BSC,MATIC
crypto.MATIC.version.ERC20.address,EVM,ETH,MATIC
crypto.DOT.address,DOT,DOT,DOT
crypto.UNI.version.ERC20.address,EVM,ETH,UNI
crypto.UNI.version.BEP20.address,EVM,BSC,UNI
crypto.UNI.version.MATIC.address,EVM,MATIC,UNI
crypto.UNI.version.HRC20.address,EVM,ONE,UNI
crypto.UNI.version.XDAI.address,EVM,XDAI,UNI
crypto.SOL.address,SOL,SOL,SOL
crypto.BUSD.version.ERC20.address,EVM,ETH,BUSD
crypto.BUSD.version.BEP20.address,EVM,BSC,BUSD
crypto.BUSD.version.HRC20.address,EVM,ONE,BUSD
crypto.ICP.address,ICP,ICP,ICP
crypto.THETA.address,EVM,THETA,THETA
crypto.WBTC.version.ERC20.address,EVM,ETH,WBTC
crypto.WBTC.version.MATIC.address,EVM,MATIC,WBTC
crypto.WBTC.version.FANTOM.address,EVM,FTM,WBTC
crypto.WBTC.version.HRC20.address,EVM,ONE,WBTC
crypto.WBTC.version.XDAI.address,EVM,XDAI,WBTC
crypto.FIL.address,FIL,FIL,FIL
crypto.CDAI.address,EVM,ETH,CDAI
crypto.KSM.address,KSM,KSM,KSM
crypto.OKB.address,EVM,OKB,OKB
crypto.AAVE.version.ERC20.address,EVM,ETH,AAVE
crypto.AAVE.version.MATIC.address,EVM,MATIC,AAVE
crypto.AAVE.version.FANTOM.address,EVM,FTM,AAVE
crypto.AAVE.version.HRC20.address,EVM,ONE,AAVE
crypto.BLOCKS.address,EVM,ETH,BLOCKS
crypto.SHIB.version.ERC20.address,EVM,ETH,SHIB
crypto.SHIB.version.MATIC.address,EVM,MATIC,SHIB
crypto.SHIB.version.FANTOM.address,EVM,FTM,SHIB
crypto.CEL.version.ERC20.address,EVM,ETH,CEL
crypto.CEL.version.MATIC.address,EVM,MATIC,CEL
crypto.CEL.version.FANTOM.address,EVM,FTM,CEL
crypto.CEL.version.HRC20.address,EVM,ONE,CEL
crypto.CUSDC.address,EVM,ETH,CUSD
crypto.CETH.address,EVM,ETH,CETH
crypto.AMP.address,EVM,ETH,AMP
crypto.CAKE.version.BEP20.address,EVM,BSC,CAKE
crypto.CAKE.version.HRC20.address,EVM,ONE,CAKE
crypto.MIOTA.address,IOTA,IOTA,MIOTA
crypto.FTT.address,EVM,ETH,FTT
crypto.MKR.address,EVM,ETH,MKR
crypto.TFUEL.address,EVM,THETA,TFUEL
crypto.KLAY.address,EVM,KLAY,KLAY
crypto.LUNA.address,LUNA,LUNA,LUNA
crypto.AVAX.address,EVM,AVAX,AVAX
crypto.LEO.address,EVM,ETH,LEO
crypto.SAFEMOON.version.BEP20.address,EVM,BSC,SAFEMOON
crypto.SAFEMOON.version.HRC20.address,EVM,ONE,SAFEMOON
crypto.UST.address,LUNA,LUNA,UST
crypto.RUNE.address,BNB,BNB,RUNE
crypto.HBAR.address,HBAR,HBAR,HBAR
crypto.TEL.version.ERC20.address,EVM,ETH,TEL
crypto.TEL.version.MATIC.address,EVM,MATIC,TEL
crypto.CHZ.address,EVM,ETH,CHZ
crypto.SUSHI.version.ERC20.address,EVM,ETH,SUSHI
crypto.SUSHI.version.BEP20.address,EVM,BSC,SUSHI
crypto.SUSHI.version.MATIC.address,EVM,MATIC,SUSHI
crypto.SUSHI.version.FANTOM.address,EVM,FTM,SUSHI
crypto.SUSHI.version.HRC20.address,EVM,ONE,SUSHI
crypto.EGLD.address,EGLD,EGLD,EGLD
crypto.TUSD.version.ERC20.address,EVM,ETH,TUSD
