key,name,shortName,mapFrom,mapTo,networkKey,networkName,networkShortName,familyKey,familyName,familyShortName,validationRegex,validationCaseSensitive
token.EVM.ETH.POLY.address,Polymath,POLY,crypto.POLY.address,crypto.POLY.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.PROM.address,PROM,PROM,crypto.PROM.address,crypto.PROM.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.PUNDIX.address,PUNDIX,PUNDIX,crypto.PUNDIX.address,crypto.PUNDIX.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.QNT.address,QNT,QNT,crypto.QNT.address,crypto.QNT.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.RAY.address,RAY,RAY,crypto.RAY.address,crypto.RAY.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.REEF.address,REEF,REEF,crypto.REEF.version.ERC20.address,crypto.REEF.version.ERC20.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.REN.address,REN,REN,crypto.REN.version.ERC20.address,crypto.REN.version.ERC20.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.RENBTC.address,RENBTC,RENBTC,crypto.RENBTC.version.ERC20.address,crypto.RENBTC.version.ERC20.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.REP.address,Augur,REP,crypto.REP.address,crypto.REP.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.RETARDIO.address,RETARDIO,RETARDIO,,,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.RLC.address,RLC,RLC,crypto.RLC.address,crypto.RLC.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.RPL.address,RPL,RPL,crypto.RPL.address,crypto.RPL.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.RSR.address,RSR,RSR,crypto.RSR.address,crypto.RSR.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.SAND.address,The Sandbox,SAND,crypto.SAND.version.ERC20.address,crypto.SAND.version.ERC20.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.SETH.address,SETH,SETH,crypto.SETH.address,crypto.SETH.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.SEUR.address,SEUR,SEUR,crypto.SEUR.address,crypto.SEUR.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.SHIB.address,Shiba Inu,SHIB,crypto.SHIB.version.ERC20.address,crypto.SHIB.version.ERC20.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.SKL.address,SKL,SKL,crypto.SKL.address,crypto.SKL.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.SNT.address,SNT,SNT,crypto.SNT.address,crypto.SNT.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.SNX.address,SNX,SNX,crypto.SNX.version.ERC20.address,crypto.SNX.version.ERC20.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.SRM.address,SRM,SRM,crypto.SRM.version.ERC20.address,crypto.SRM.version.ERC20.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.STETH.address,STETH,STETH,crypto.STETH.address,crypto.STETH.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.STMX.address,STMX,STMX,crypto.STMX.address,crypto.STMX.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.STORJ.address,STORJ,STORJ,crypto.STORJ.version.ERC20.address,crypto.STORJ.version.ERC20.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.STRAX.address,STRAX,STRAX,crypto.STRAX.address,crypto.STRAX.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.SUSD.address,sUSD,SUSD,crypto.SUSD.version.ERC20.address,crypto.SUSD.version.ERC20.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
